 written on 22Nov2021 at 17:14:40 
          14
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1   14   13    0.016326   -0.000000
   -1   -1   -1    1   14   -0.140994   -0.000000
   -1   -1   -1    2   14    0.071071   -0.000000
   -1   -1   -1    3   14   -0.002596    0.000000
   -1   -1   -1    4   14    0.071120    0.000000
   -1   -1   -1    5   14   -0.083501   -0.000000
   -1   -1   -1    6   14   -0.016047   -0.000000
   -1   -1   -1    7   14    0.025519    0.000001
   -1   -1   -1    8   14    0.138148   -0.000003
   -1   -1   -1    9   14    0.000781    0.000000
   -1   -1   -1   10   14   -0.000000   -0.000000
   -1   -1   -1   11   14   -0.024261    0.000000
   -1   -1   -1   12   14    0.006893    0.000000
   -1   -1   -1   13   14    0.016326    0.000000
   -1   -1   -1   14   14    0.018262   -0.000000
   -1   -1    0    1    1    0.363043    0.000000
   -1   -1    0    2    1    0.271843   -0.000000
   -1   -1    0    3    1    0.265315    0.000000
   -1   -1    0    4    1   -1.394624   -0.000000
   -1   -1    0    5    1    0.046706    0.000000
   -1   -1    0    6    1    0.021316    0.000000
   -1   -1    0    7    1    0.046704    0.000000
   -1   -1    0    8    1   -0.165600    0.000000
   -1   -1    0    9    1   -0.045075    0.000000
   -1   -1    0   10    1   -0.014075    0.000000
   -1   -1    0   11    1    0.147876    0.000000
   -1   -1    0   12    1    0.008538    0.000002
   -1   -1    0   13    1    0.000001    0.000002
   -1   -1    0   14    1   -0.022750    0.000001
   -1   -1    0    1    2    0.271843    0.000000
   -1   -1    0    2    2    0.130218    0.000000
   -1   -1    0    3    2   -0.020674    0.000000
   -1   -1    0    4    2    0.274279   -0.000000
   -1   -1    0    5    2    0.045735   -0.000000
   -1   -1    0    6    2    0.019956    0.000000
   -1   -1    0    7    2   -0.166489   -0.000000
   -1   -1    0    8    2    0.045694   -0.000000
   -1   -1    0    9    2    0.024294    0.000000
   -1   -1    0   10    2    0.160248   -0.000000
   -1   -1    0   11    2   -0.095241   -0.000000
   -1   -1    0   12    2    0.007646    0.000005
   -1   -1    0   13    2   -0.019799    0.000001
   -1   -1    0   14    2    0.011501   -0.000002
   -1   -1    0    1    3    0.265315   -0.000000
   -1   -1    0    2    3   -0.020674   -0.000000
   -1   -1    0    3    3    0.183082    0.000000
   -1   -1    0    4    3    0.260194    0.000000
   -1   -1    0    5    3    0.077832    0.000000
   -1   -1    0    6    3   -0.298457    0.000000
   -1   -1    0    7    3    0.077832    0.000000
   -1   -1    0    8    3    0.078205   -0.000001
   -1   -1    0    9    3   -0.078467   -0.000002
   -1   -1    0   10    3    0.064122    0.000000
   -1   -1    0   11    3   -0.034999    0.000000
   -1   -1    0   12    3    0.018075   -0.000001
